open,volume,money,DKX,OSC,MAUDL,CHO,MACHO,AMO1,AMO2
6616.7564,10902949096.000002,131981653911.20003,6604.041430476191,-39872.43800000014,6601.590012222223,606430.2348243138,1002242.600803591,12634694.2982552,12468757.213675201
6616.7564,10093042700.0,131981653911.20003,6604.041430476191,-39872.43800000014,6601.590012222223,323532.6241235184,859750.4048633833,12634694.2982552,12468757.213675201
6616.7564,4926065240.0,47294105790.54,6604.041430476191,-39872.43800000014,6601.590012222223,58277.05912110163,681303.861677446,11504525.27868,12468757.213675201
6616.7564,10902949096.000002,131981653911.20003,6604.041430476191,-39872.43800000014,6601.590012222223,-181399.0880422206,456434.1939387413,11637466.96558,12468757.213675201
6435.89,10902949096.000002,131981653911.20003,6604.041430476191,-39872.43800000014,6601.590012222223,-630049.8500110433,168883.3609563361,11998079.1967,12468757.213675201
6126.67,9190522000.0,105727199662.0,6604.041430476191,-39872.43800000014,6601.590012222223,-630283.3341486473,-107507.6088854891,10978277.21822,12132883.09075
6168.99,8612340200.0,98456702875.0,6604.041430476191,-39872.43800000014,6601.590012222223,-630283.3341486473,-405508.5676093057,10220381.77178,11908710.71933
5734.61,9225144600.0,104255125841.0,6604.041430476191,-39872.43800000014,6601.590012222223,-630283.3341486473,-598014.1230756808,11609853.39306,11557189.33587
6078.61,8863053900.0,102277307351.0,6604.041430476191,-39872.43800000014,6601.590012222223,-630283.3341486473,-598014.1230756808,10876719.53666,11257093.25112
5768.76,7246978900.0,86980313690.0,6604.041430476191,-39872.43800000014,6565.62425694445,-630283.3341486473,-598014.1230756808,9953932.98838,10976006.09254
5965.36,8798101500.0,106185500293.0,6530.87627777778,-39872.43800000014,6471.464513888895,-630283.3341486473,-598014.1230756808,9963099.001000002,10470688.10961
6161.23,9194751800.0,113394506635.0,6458.170285714285,-39872.43800000014,6394.676159722222,-630283.3341486473,-598014.1230756808,10261855.0762,10241118.42399
6031.17,8188276500.0,100555303501.0,6374.927404761905,-39872.43800000014,6337.362750000004,-630283.3341486473,-598014.1230756808,10187858.6294,10898856.01123
5954.36,6983070900.0,84429369084.0,6298.832944444445,-39872.43800000014,6284.142611111115,-630283.3341486473,-598014.1230756808,9830899.86406,10353809.70036
6034.08,6530851400.0,78677683156.0,6240.649912698412,-39872.43800000014,6246.07640277778,-630283.3341486473,-598014.1230756808,9664847.253379999,9809390.120879998
5966.7,8544391700.0,98104095983.0,6159.034904761907,-39872.43800000014,6200.591381944451,-630283.3341486473,-598014.1230756808,9503219.16718,9733159.084089998
5604.17,8792411800.0,95354931801.0,6066.251230158731,-39872.43800000014,6141.911868055563,-543641.6755089804,-598014.1230756808,9142427.6705,9702141.373349998
5441.74,6733807600.0,73152739267.0,5969.141198412701,-39872.43800000014,6060.958930555564,-564256.5756904574,-598014.1230756808,8594376.385820001,9391117.507609999
5262.46,7235909100.0,78303710591.0,5891.170706349209,-39872.43800000014,5977.417729166667,-415905.4764352769,-598014.1230756808,8471863.215960002,9151381.54001
5458.6,6471611400.0,70863332935.0,5822.102420634919,-39872.43800000014,5889.652854166674,-529795.4546075377,-598014.1230756808,8315576.211540001,8990211.732460001
5407.71,6657196200.0,75674180029.0,5770.515079365078,-38134.14999999986,5805.828576388896,-630283.3341486473,-598014.1230756808,7866977.892459999,8685098.52982
5520.64,6328072600.0,70624920617.0,5735.175492063494,-28502.9499999996,5735.203791666674,-630283.3341486473,-583430.9215716035,7372377.668780001,8257402.66964
5631.32,7108398200.0,83226216373.0,5713.615214285714,-13667.19999999987,5688.459944444449,-595020.5723015757,-591994.0710370363,7573847.210899999,8084111.798359999
5734.48,5607554500.0,65321968979.0,5698.423698412699,-14865.04999999988,5665.741020833339,-458843.7914887468,-574425.2736700851,7314212.378659999,7893037.797309999
5485.72,5363125300.0,63351303196.0,5678.083817460317,-12177.94999999978,5655.725472222221,-476106.3766269009,-584458.7570353552,7163971.78388,7739773.99771
5694.75,8287714300.0,98534904807.0,5682.805325396825,12441.70000000022,5664.33025,-118163.0117563787,-515853.3498934948,7621186.279440001,7744082.085949999
5889.5,9058252000.0,107857008107.0,5698.420277777777,19092.85000000018,5683.116111111111,45304.08719509281,-390464.5602097432,8365828.02924,7869102.84901
6009.75,9371479800.0,110109734502.0,5718.452658730156,18503.30000000013,5712.86415972222,474101.3582770091,-188121.3844502511,8903498.39182,8238672.801360001
5939.7,7038049900.0,86849115989.0,5737.63792857143,20313.10000000012,5742.622465277776,720309.5529944059,31100.30309907991,9334041.33202,8324126.855340001
6055.68,9432052000.0,110801609577.0,5766.765484126982,23000.0000000001,5781.546840277773,1044464.44445001,281651.6757555389,10283047.45964,8723509.62176
6102.51,8787487600.0,106556791415.0,5795.547246031747,23000.0000000001,5824.671194444447,1195791.5876957597,588409.8509138152,10443485.1918,9032335.73562
6041.75,8981957900.0,111114133801.0,5825.666039682539,23000.0000000001,5866.851291666661,1195791.5876957597,883186.223824063,10508627.70568,9437227.86746
6097.42,10902949096.000002,129597084427.0,5825.812087301585,-13583.5500000002,5889.416111111117,1195791.5876957597,1138720.054671088,10898374.70418,9900936.548
5668.33,7985789500.0,91756326917.0,5813.842666666666,-9636.20000000019,5894.129166666663,1195791.5876957597,1159665.244001584,10996518.92274,10165280.12738
5618.51,8670315300.0,93375908218.0,5785.781912698412,-36032.7000000002,5873.235597222229,1195791.5876957597,1159665.244001584,10648004.89556,10465526.1776
5361.79,8080357100.0,87222593763.0,5758.263666666669,-23134.30000000026,5834.560423611118,1176108.983199757,1159665.244001584,10261320.94252,10352403.06716
5464.73,10902949096.000002,117963208755.0,5754.127722222223,3622.899999999754,5789.211881944451,963149.5772192655,1159665.244001584,10398302.4416,10453465.07364
5757.36,10902949096.000002,131981653911.20003,5760.364325396824,3477.14999999971,5746.328416666666,695291.2455931343,1159665.244001584,10532333.20358,10715353.95388
5755.12,10882994800.0,117455003081.0,5754.154928571428,-12827.00000000013,5714.431798611115,418140.2601827625,1063203.837109279,11046306.72686,11021412.8248
5686.69,8717058100.0,94467279705.0,5752.993507936506,-1493.350000000191,5694.51459722223,98301.91046703374,809817.3410878927,11068134.1566,10858069.52608
5751.39,9814965600.0,106368707875.0,5750.055944444446,-1203.850000000239,5695.542895833342,-100681.9894755487,541718.3311977348,11451056.43884,10856188.69068
5627.14,7261532300.0,80804882924.0,5736.402619047619,-15967.20000000014,5702.449090277783,-386187.8994514428,281335.5174225338,10707889.92222,10553096.18191
5617.42,5955941100.0,67298081387.0,5716.854126984127,-24478.50000000017,5705.124437500003,-260152.4425834182,77451.84745542081,9327879.099440001,9930106.151509998
5460.54,4980002200.0,55449986936.0,5691.495809523808,-24999.40000000015,5694.923472222218,-201734.5283052572,-72052.448194312,8087778.776539999,9567042.7517
5568.46,7999741800.0,95153496604.0,5681.019547619048,-6951.150000000143,5686.039534722218,78260.90547157777,-128699.0073128424,8101503.11452,9584818.63556
5672.75,6626890000.0,82607046675.0,5671.462206349206,-10716.50000000018,5675.284652777784,306877.2737188824,-93936.446770869,7626269.890520001,9538663.16468
5662.44,5748733200.0,69542980639.0,5657.273571428573,-16373.45000000014,5661.839569444445,277156.535926275,-30963.35920389586,7401031.84482,9054460.88352
5589.22,8457575800.0,106177927914.0,5654.073047619048,3000.299999999515,5653.702694444448,350086.6905138942,91749.07245699248,8178628.77536,8753253.9374
5774.3,10902949096.000002,131981653911.20003,5670.320095238094,23000.0000000001,5661.012736111114,619174.1056157695,238303.4971568559,10224751.6486,9156265.21257
6016.69,10902949096.000002,131981653911.20003,5704.945817460316,23000.0000000001,5686.012027777783,940744.6346910079,428716.6909895681,11656908.3022,9879205.70836
6045.84,10772165400.0,131981653911.20003,5738.886079365079,23000.0000000001,5718.555986111117,1083882.806776273,596320.3412070178,12634694.2982552,10214676.15206
6054.22,8966132400.0,118558592213.0,5776.720007936507,23000.0000000001,5759.455597222227,1195791.5876957597,769410.4706984438,12634694.2982552,10592213.24495
6062.76,10143974300.0,131981653911.20003,5807.383801587301,23000.0000000001,5805.734666666672,1195791.5876957597,960285.5251523253,12634694.2982552,11267989.825
6006.67,7823131200.0,103214951247.0,5838.869031746032,23000.0000000001,5854.30283333334,1195791.5876957597,1157732.698694085,12634694.2982552,11745639.46811
6114.77,9378233000.0,124277859799.0,5868.576436507937,23000.0000000001,5894.838368055563,1195791.5876957597,1159665.244001584,12416857.89792,12036883.10006
6029.94,7900397500.0,99950096210.0,5884.037873015874,10914.95000000023,5922.563875000008,1195791.5876957597,1159665.244001584,11617544.77722,12210313.59541
5981.42,8806129200.0,116510738653.0,5911.298222222223,23000.0000000001,5944.959243055564,1195791.5876957597,1159665.244001584,11576587.70602,12468757.213675201
6164.28,9491572200.0,130216390845.0,5944.579309523809,23000.0000000001,5963.535958333342,1195791.5876957597,1159665.244001584,11483400.73508,12468757.213675201
6129.72,8521953300.0,109236062243.0,5969.290476190477,23000.0000000001,5983.067479166675,1195791.5876957597,1159665.244001584,11603822.955,12435175.12131
6136.69,10554304900.0,131981653911.20003,6004.672087301586,23000.0000000001,6004.278777777786,1195791.5876957597,1159665.244001584,11865461.7331,12141159.81551
6262.6,10467457900.0,131981653911.20003,6043.913952380952,23000.0000000001,6032.125541666673,1195791.5876957597,1159665.244001584,12634694.2982552,12136105.8256
6344.37,10902949096.000002,131981653911.20003,6076.952119047618,23000.0000000001,6064.430312500009,1195791.5876957597,1159665.244001584,12634694.2982552,12404044.36706
6176.86,8867017300.0,117273506090.0,6096.792738095236,17511.95000000016,6092.99594444445,1195791.5876957597,1159665.244001584,12634694.2982552,12228022.03404
6226.38,10219997800.0,131981653911.20003,6124.288293650795,23000.0000000001,6120.115097222229,1103108.004399532,1159665.244001584,12634694.2982552,12468757.213675201
6299.47,8706176700.0,118671124388.0,6147.677825396827,19127.44999999986,6144.364687500005,1093630.687376724,1159665.244001584,12634694.2982552,12468757.213675201
6292.57,10902949096.000002,131981653911.20003,6175.262722222225,23000.0000000001,6168.416333333338,1109771.969487672,1159665.244001584,12634694.2982552,12468757.213675201
6375.49,9908817600.0,126151603482.0,6202.870587301587,23000.0000000001,6190.240722222227,1018243.449261731,1144132.963450004,12634694.2982552,12468757.213675201
