Date,Symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-29 00:00:00-05:00,ADBE,596.0900268554688,600.75,592.9400024414062,596.5999755859375,1893900,0.0,0.0
2023-12-29 00:00:00-05:00,ADP,232.42999267578125,233.44000244140625,231.86000061035156,232.97000122070312,1020200,0.0,0.0
2023-12-29 00:00:00-05:00,ABNB,136.7100067138672,137.8699951171875,135.42999267578125,136.13999938964844,3074100,0.0,0.0
2023-12-29 00:00:00-05:00,GOOGL,139.6300048828125,140.36000061035156,138.77999877929688,139.69000244140625,18727200,0.0,0.0
2023-12-29 00:00:00-05:00,GOOG,140.67999267578125,141.43499755859375,139.89999389648438,140.92999267578125,14872700,0.0,0.0
2023-12-29 00:00:00-05:00,AMZN,153.10000610351562,153.88999938964844,151.02999877929688,151.94000244140625,39789000,0.0,0.0
2023-12-29 00:00:00-05:00,AMD,149.5,151.0500030517578,147.1999969482422,147.41000366210938,62028200,0.0,0.0
2023-12-29 00:00:00-05:00,AEP,81.05000305175781,81.30999755859375,80.45999908447266,81.22000122070312,2476500,0.0,0.0
2023-12-29 00:00:00-05:00,AMGN,287.8599853515625,288.489990234375,286.3900146484375,288.0199890136719,1766600,0.0,0.0
2023-12-29 00:00:00-05:00,ADI,199.8699951171875,200.6999969482422,198.08999633789062,198.55999755859375,1542400,0.0,0.0
2023-12-29 00:00:00-05:00,ANSS,359.7799987792969,364.30999755859375,359.6000061035156,362.8800048828125,790500,0.0,0.0
2023-12-29 00:00:00-05:00,AAPL,193.89999389648438,194.39999389648438,191.72999572753906,192.52999877929688,42628800,0.0,0.0
2023-12-29 00:00:00-05:00,AMAT,163.11000061035156,163.55999755859375,160.6999969482422,162.07000732421875,2980700,0.0,0.0
2023-12-29 00:00:00-05:00,ASML,758.030029296875,760.3499755859375,752.3300170898438,756.9199829101562,517900,0.0,0.0
2023-12-29 00:00:00-05:00,AZN,67.37999725341797,67.5199966430664,67.04000091552734,67.3499984741211,3354400,0.0,0.0
2023-12-29 00:00:00-05:00,TEAM,241.22000122070312,242.6999969482422,237.0800018310547,237.86000061035156,855900,0.0,0.0
2023-12-29 00:00:00-05:00,ADSK,243.72000122070312,245.39999389648438,242.7899932861328,243.47999572753906,721400,0.0,0.0
2023-12-29 00:00:00-05:00,BKR,34.220001220703125,34.29999923706055,34.0099983215332,34.18000030517578,5068500,0.0,0.0
2023-12-29 00:00:00-05:00,BIIB,260.1600036621094,261.0,257.0,258.7699890136719,801500,0.0,0.0
2023-12-29 00:00:00-05:00,BKNG,3557.179931640625,3574.909912109375,3530.22998046875,3547.219970703125,164500,0.0,0.0
2023-12-29 00:00:00-05:00,AVGO,1121.4599609375,1124.3800048828125,1114.6700439453125,1116.25,2054900,0.0,0.0
2023-12-29 00:00:00-05:00,CDNS,273.44000244140625,274.7099914550781,270.8599853515625,272.3699951171875,818600,0.0,0.0
2023-12-29 00:00:00-05:00,CDW,228.55999755859375,229.30999755859375,226.6199951171875,227.32000732421875,564200,0.0,0.0
2023-12-29 00:00:00-05:00,CHTR,390.7200012207031,393.989990234375,387.4700012207031,388.67999267578125,746000,0.0,0.0
2023-12-29 00:00:00-05:00,CTAS,600.239990234375,604.469970703125,599.6500244140625,602.6599731445312,284100,0.0,0.0
2023-12-29 00:00:00-05:00,CSCO,50.45000076293945,50.59000015258789,50.220001220703125,50.52000045776367,12491200,0.0,0.0
2023-12-29 00:00:00-05:00,CCEP,66.41999816894531,66.94000244140625,66.13999938964844,66.73999786376953,1076800,0.0,0.0
2023-12-29 00:00:00-05:00,CTSH,75.68000030517578,75.87000274658203,75.05999755859375,75.52999877929688,1725300,0.0,0.0
2023-12-29 00:00:00-05:00,CMCSA,44.09000015258789,44.13999938964844,43.560001373291016,43.849998474121094,13694900,0.0,0.0
2023-12-29 00:00:00-05:00,CEG,116.7300033569336,117.2699966430664,115.93000030517578,116.88999938964844,849900,0.0,0.0
2023-12-29 00:00:00-05:00,CPRT,49.0,49.08000183105469,48.599998474121094,49.0,5129800,0.0,0.0
2023-12-29 00:00:00-05:00,CSGP,87.61000061035156,88.08999633789062,87.0199966430664,87.38999938964844,1164000,0.0,0.0
2023-12-29 00:00:00-05:00,COST,661.0,663.1900024414062,657.1599731445312,660.0800170898438,1947000,0.0,0.0
2023-12-29 00:00:00-05:00,CRWD,255.8300018310547,257.17999267578125,251.8800048828125,255.32000732421875,1856700,0.0,0.0
2023-12-29 00:00:00-05:00,CSX,34.689998626708984,34.779998779296875,34.54999923706055,34.66999816894531,6712000,0.0,0.0
2023-12-29 00:00:00-05:00,DDOG,123.0,123.7249984741211,120.88999938964844,121.37999725341797,2193300,0.0,0.0
2023-12-29 00:00:00-05:00,DXCM,123.77999877929688,124.77999877929688,123.6500015258789,124.08999633789062,1301700,0.0,0.0
2023-12-29 00:00:00-05:00,FANG,156.0,156.36000061035156,154.72999572753906,155.0800018310547,2267700,0.0,0.0
2023-12-29 00:00:00-05:00,DLTR,142.24000549316406,142.89999389648438,141.00999450683594,142.0500030517578,1252000,0.0,0.0
2023-12-29 00:00:00-05:00,DASH,99.66000366210938,100.56999969482422,98.4000015258789,98.88999938964844,2525400,0.0,0.0
2023-12-29 00:00:00-05:00,EA,136.80999755859375,137.11000061035156,136.32000732421875,136.80999755859375,1087700,0.0,0.0
2023-12-29 00:00:00-05:00,EXC,35.70000076293945,35.95000076293945,35.56999969482422,35.900001525878906,4634200,0.0,0.0
