,交易市场,股票名称,股票代码,当前价,涨跌额,涨跌幅%,年初至今,成交量,成交额(元),换手率,市盈率,股息率%,市值(元)
1394,CN,立方制药,SZ003020,27.21,0.56,2.1,10.62,588639.0,15897802.65,0.52,20.647,1.408,4344759471.0
1395,CN,宸展光电,SZ003019,21.87,0.47,2.2,16.98,4431090.0,95708722.37,2.72,21.827,3.315,3565552049.0
1396,CN,金富科技,SZ003018,10.17,0.08,0.79,9.29,1271700.0,12913440.0,0.96,24.389,0.787,2644200000.0
1397,CN,大洋生物,SZ003017,23.62,-0.55,-2.28,21.57,6833870.0,160922909.04,10.18,28.023,1.816,1984080000.0
1398,CN,欣贺股份,SZ003016,7.99,0.02,0.25,-10.36,2163270.0,17145852.5,0.51,29.454,3.767,3436017187.0
1399,CN,日久光电,SZ003015,11.07,0.55,5.23,31.89,27749700.0,302815001.0,11.29,370.933,1.807,3111408004.0
1400,CN,地铁设计,SZ003013,16.48,-0.2,-1.2,9.39,2134500.0,34957046.0,0.53,15.422,2.731,6592164800.0
1401,CN,东鹏控股,SZ003012,8.08,0.06,0.75,4.06,4595140.0,36970604.52,0.39,14.871,1.238,9477840000.0
1402,CN,海象新材,SZ003011,20.22,0.17,0.85,-3.12,1034540.0,20825387.6,1.35,9.553,2.967,2076108720.0
1403,CN,若羽臣,SZ003010,18.82,-0.28,-1.47,0.85,4283400.0,80845590.0,4.67,45.555,1.323,2302238179.0
1404,CN,中天火箭,SZ003009,45.1,-0.05,-0.11,14.5,1621700.0,72582889.4,1.04,92.585,0.206,7008231516.0
1405,CN,开普检测,SZ003008,26.72,0.38,1.44,10.76,570200.0,15143533.0,0.97,33.513,1.871,2137600000.0
1406,CN,直真科技,SZ003007,31.77,2.89,10.01,14.01,2633253.0,81817822.62,2.56,71.607,0.315,3304080000.0
1407,CN,百亚股份,SZ003006,15.51,0.35,2.31,14.19,1400500.0,21526439.0,0.33,27.347,1.941,6660014163.0
1408,CN,竞业达,SZ003005,30.2,0.21,0.7,-24.88,4209300.0,127241638.0,5.7,155.803,0.709,4481680000.0
1409,CN,声迅股份,SZ003004,28.4,0.77,2.79,9.07,1641539.0,46098986.52,2.4,185.817,0.704,2324384993.0
1410,CN,天元股份,SZ003003,11.19,0.22,2.01,-5.49,2288600.0,25398837.0,1.96,101.08,0.894,1980186428.0
1411,CN,壶化股份,SZ003002,13.68,0.13,0.96,-25.02,2044400.0,27731839.0,1.03,14.407,1.096,2736000000.0
1412,CN,中岩大地,SZ003001,17.55,0.22,1.27,19.68,1335698.0,23370049.57,2.7,,0.866,2234649871.0
1413,CN,劲仔食品,SZ003000,11.87,0.22,1.89,2.32,4331400.0,50629810.0,1.49,31.957,1.853,5354190917.0
1414,CN,天禾股份,SZ002999,7.14,0.01,0.14,-27.73,6657940.0,47179887.0,1.95,32.736,1.401,2481806880.0
1415,CN,优彩资源,SZ002998,7.73,-0.03,-0.39,20.16,6261212.0,48507795.32,1.92,18.715,1.94,2523091054.0
1416,CN,瑞鹄模具,SZ002997,32.24,-0.31,-0.95,33.49,3737507.0,120356855.29,1.88,34.039,0.862,6397239184.0
1417,CN,顺博合金,SZ002996,10.48,0.16,1.55,-19.23,1413750.0,14686523.5,0.55,110.073,0.477,4600732419.0
1418,CN,天地在线,SZ002995,21.8,-0.19,-0.86,14.62,7135816.0,156574367.17,6.35,,0.326,3868507664.0
1419,CN,奥海科技,SZ002993,36.16,1.01,2.87,8.25,1993541.0,71395099.53,0.84,24.641,1.659,9981606400.0
1420,CN,宝明科技,SZ002992,74.5,3.42,4.81,34.23,1980410.0,144379549.0,2.53,,,13727821843.0
1421,CN,甘源食品,SZ002991,68.96,0.4,0.58,-8.34,627225.0,43103668.25,1.26,22.721,1.556,6428163706.0
1422,CN,盛视科技,SZ002990,33.49,0.44,1.33,22.45,2215418.0,73721585.3,1.67,46.719,0.302,8575685103.0
